deliveryDate,hourEnding,repeatedHourFlag,settlementPointName,settlementPointPrice
2025-05-31,17,N,LZ_RAYBN,33.45
2025-05-31,17,N,LZ_NORTH,33.15
2025-05-31,17,N,LZ_LCRA,37.06
2025-05-31,17,N,LZ_HOUSTON,37.13
2025-05-31,17,N,LZ_CPS,35.33
2025-05-31,17,N,LZ_AEN,38.01
2025-05-31,17,N,HB_WEST,31.85
2025-05-31,17,N,HB_SOUTH,35.06
2025-05-31,17,N,HB_PAN,32.33
2025-05-31,17,N,HB_NORTH,32.98
2025-05-31,17,N,HB_HUBAVG,34.0
2025-05-31,17,N,HB_HOUSTON,36.13
2025-05-31,17,N,HB_BUSAVG,33.75
2025-05-31,16,N,LZ_WEST,32.98
2025-05-31,16,N,LZ_SOUTH,34.05
2025-05-31,16,N,LZ_RAYBN,31.54
2025-05-31,16,N,LZ_NORTH,31.25
2025-05-31,16,N,LZ_LCRA,34.34
2025-05-31,16,N,LZ_HOUSTON,35.33
2025-05-31,16,N,LZ_CPS,33.0
2025-05-31,16,N,LZ_AEN,35.11
2025-05-31,16,N,HB_WEST,29.88
2025-05-31,16,N,HB_SOUTH,32.75
2025-05-31,16,N,HB_PAN,30.22
2025-05-31,16,N,HB_NORTH,31.05
2025-05-31,16,N,HB_HUBAVG,32.02
2025-05-31,16,N,HB_HOUSTON,34.39
2025-05-31,16,N,HB_BUSAVG,31.77
2025-05-31,15,N,LZ_WEST,28.25
2025-05-31,15,N,LZ_SOUTH,30.2
2025-05-31,15,N,LZ_RAYBN,27.58
2025-05-31,15,N,LZ_NORTH,27.25
2025-05-31,15,N,LZ_LCRA,29.7
2025-05-31,15,N,LZ_HOUSTON,31.53
2025-05-31,15,N,LZ_CPS,28.37
2025-05-31,15,N,LZ_AEN,30.33
2025-05-31,15,N,HB_WEST,25.88
2025-05-31,15,N,HB_SOUTH,28.53
2025-05-31,15,N,HB_PAN,26.29
2025-05-31,15,N,HB_NORTH,27.07
2025-05-31,15,N,HB_HUBAVG,28.07
2025-05-31,15,N,HB_HOUSTON,30.78
2025-05-31,15,N,HB_BUSAVG,27.78
2025-05-31,14,N,LZ_WEST,24.37
2025-05-31,14,N,LZ_SOUTH,27.24
2025-05-31,14,N,LZ_RAYBN,24.08
2025-05-31,14,N,LZ_NORTH,23.74
2025-05-31,14,N,LZ_LCRA,25.92
2025-05-31,14,N,LZ_HOUSTON,27.84
2025-05-31,14,N,LZ_CPS,24.84
2025-05-31,14,N,LZ_AEN,26.38
2025-05-31,14,N,HB_WEST,22.76
2025-05-31,14,N,HB_SOUTH,25.22
2025-05-31,14,N,HB_PAN,22.76
2025-05-31,14,N,HB_NORTH,23.59
2025-05-31,14,N,HB_HUBAVG,24.72
2025-05-31,14,N,HB_HOUSTON,27.32
2025-05-31,14,N,HB_BUSAVG,24.39
2025-05-31,13,N,LZ_WEST,21.92
2025-05-31,13,N,LZ_SOUTH,24.23
2025-05-31,13,N,LZ_RAYBN,21.47
2025-05-31,13,N,LZ_NORTH,21.32
2025-05-31,13,N,LZ_LCRA,23.08
2025-05-31,13,N,LZ_HOUSTON,24.0
2025-05-31,13,N,LZ_CPS,22.06
2025-05-31,13,N,LZ_AEN,23.33
2025-05-31,13,N,HB_WEST,20.97
2025-05-31,13,N,HB_SOUTH,22.64
2025-05-31,13,N,HB_PAN,20.63
2025-05-31,13,N,HB_NORTH,21.24
2025-05-31,13,N,HB_HUBAVG,22.09
2025-05-31,13,N,HB_HOUSTON,23.53
2025-05-31,13,N,HB_BUSAVG,21.84
2025-05-31,12,N,LZ_WEST,19.31
2025-05-31,12,N,LZ_SOUTH,21.5
2025-05-31,12,N,LZ_RAYBN,18.59
2025-05-31,12,N,LZ_NORTH,18.48
2025-05-31,12,N,LZ_LCRA,20.73
2025-05-31,12,N,LZ_HOUSTON,21.22
2025-05-31,12,N,LZ_CPS,19.92
2025-05-31,12,N,LZ_AEN,20.96
2025-05-31,12,N,HB_WEST,18.53
2025-05-31,12,N,HB_SOUTH,20.15
2025-05-31,12,N,HB_PAN,17.64
2025-05-31,12,N,HB_NORTH,18.42
2025-05-31,12,N,HB_HUBAVG,19.47
2025-05-31,12,N,HB_HOUSTON,20.79
2025-05-31,12,N,HB_BUSAVG,19.16
2025-05-31,11,N,LZ_WEST,18.79
2025-05-31,11,N,LZ_SOUTH,20.15
2025-05-31,11,N,LZ_RAYBN,18.2
2025-05-31,11,N,LZ_NORTH,18.13
2025-05-31,11,N,LZ_LCRA,19.55
2025-05-31,11,N,LZ_HOUSTON,19.82
2025-05-31,11,N,LZ_CPS,19.02
2025-05-31,11,N,LZ_AEN,19.61
2025-05-31,11,N,HB_WEST,18.25
2025-05-31,11,N,HB_SOUTH,19.2
2025-05-31,11,N,HB_PAN,17.3
2025-05-31,11,N,HB_NORTH,18.1
2025-05-31,11,N,HB_HUBAVG,18.78
2025-05-31,11,N,HB_HOUSTON,19.57
2025-05-31,11,N,HB_BUSAVG,18.57
2025-05-31,10,N,LZ_WEST,19.02
2025-05-31,10,N,LZ_SOUTH,19.18
2025-05-31,10,N,LZ_RAYBN,18.25
2025-05-31,10,N,LZ_NORTH,18.26
2025-05-31,10,N,LZ_LCRA,18.85
2025-05-31,10,N,LZ_HOUSTON,18.48
2025-05-31,10,N,LZ_CPS,18.73
2025-05-31,10,N,LZ_AEN,18.75
2025-05-31,10,N,HB_WEST,18.65
2025-05-31,10,N,HB_SOUTH,18.72
2025-05-31,10,N,HB_PAN,17.71
2025-05-31,10,N,HB_NORTH,18.27
2025-05-31,10,N,HB_HUBAVG,18.51
2025-05-31,10,N,HB_HOUSTON,18.41
2025-05-31,10,N,HB_BUSAVG,18.43
2025-05-31,9,N,LZ_WEST,20.38
2025-05-31,9,N,LZ_SOUTH,20.13
2025-05-31,9,N,LZ_RAYBN,19.3
2025-05-31,9,N,LZ_NORTH,19.33
2025-05-31,9,N,LZ_LCRA,19.82
2025-05-31,9,N,LZ_HOUSTON,19.35
2025-05-31,9,N,LZ_CPS,19.83
2025-05-31,9,N,LZ_AEN,19.68
2025-05-31,9,N,HB_WEST,19.9
2025-05-31,9,N,HB_SOUTH,19.76
2025-05-31,9,N,HB_PAN,18.46
2025-05-31,9,N,HB_NORTH,19.34
2025-05-31,9,N,HB_HUBAVG,19.58
2025-05-31,9,N,HB_HOUSTON,19.33
2025-05-31,9,N,HB_BUSAVG,19.5
2025-05-31,8,N,LZ_WEST,31.09
2025-05-31,8,N,LZ_SOUTH,23.09
2025-05-31,8,N,LZ_RAYBN,22.23
2025-05-31,8,N,LZ_NORTH,22.29
2025-05-31,8,N,LZ_LCRA,23.02
2025-05-31,8,N,LZ_HOUSTON,22.62
2025-05-31,8,N,LZ_CPS,23.06
2025-05-31,8,N,LZ_AEN,22.85
2025-05-31,8,N,HB_WEST,25.39
2025-05-31,8,N,HB_SOUTH,22.94
2025-05-31,8,N,HB_PAN,20.2
2025-05-31,8,N,HB_NORTH,22.27
2025-05-31,8,N,HB_HUBAVG,23.3
2025-05-31,8,N,HB_HOUSTON,22.59
2025-05-31,8,N,HB_BUSAVG,22.86
2025-05-31,7,N,LZ_WEST,41.9
2025-05-31,7,N,LZ_SOUTH,28.12
2025-05-31,7,N,LZ_RAYBN,26.61
2025-05-31,7,N,LZ_NORTH,26.69
2025-05-31,7,N,LZ_LCRA,27.77
2025-05-31,7,N,LZ_HOUSTON,27.23
2025-05-31,7,N,LZ_CPS,27.95
2025-05-31,7,N,LZ_AEN,27.48
2025-05-31,7,N,HB_WEST,31.64
2025-05-31,7,N,HB_SOUTH,27.72
2025-05-31,7,N,HB_PAN,23.26
2025-05-31,7,N,HB_NORTH,26.65
2025-05-31,7,N,HB_HUBAVG,28.3
2025-05-31,7,N,HB_HOUSTON,27.19
2025-05-31,7,N,HB_BUSAVG,27.6
2025-05-31,6,N,LZ_WEST,45.49
2025-05-31,6,N,LZ_SOUTH,26.53
2025-05-31,6,N,LZ_RAYBN,24.26
2025-05-31,6,N,LZ_NORTH,24.35
2025-05-31,6,N,LZ_LCRA,25.85
2025-05-31,6,N,LZ_HOUSTON,25.14
2025-05-31,6,N,LZ_CPS,26.26
2025-05-31,6,N,LZ_AEN,25.45
2025-05-31,6,N,HB_WEST,30.85
2025-05-31,6,N,HB_SOUTH,25.87
2025-05-31,6,N,HB_PAN,20.73
2025-05-31,6,N,HB_NORTH,24.3
2025-05-31,6,N,HB_HUBAVG,26.53
2025-05-31,6,N,HB_HOUSTON,25.09
2025-05-31,6,N,HB_BUSAVG,25.6
2025-05-31,5,N,LZ_WEST,46.0
2025-05-31,5,N,LZ_SOUTH,27.88
2025-05-31,5,N,LZ_RAYBN,26.18
2025-05-31,5,N,LZ_NORTH,26.25
2025-05-31,5,N,LZ_LCRA,27.32
2025-05-31,5,N,LZ_HOUSTON,26.81
2025-05-31,5,N,LZ_CPS,27.6
2025-05-31,5,N,LZ_AEN,26.99
2025-05-31,5,N,HB_WEST,32.18
2025-05-31,5,N,HB_SOUTH,27.32
2025-05-31,5,N,HB_PAN,22.72
2025-05-31,5,N,HB_NORTH,26.2
2025-05-31,5,N,HB_HUBAVG,28.12
2025-05-31,5,N,HB_HOUSTON,26.79
2025-05-31,5,N,HB_BUSAVG,27.28
2025-05-31,4,N,LZ_WEST,46.59
2025-05-31,4,N,LZ_SOUTH,29.22
2025-05-31,4,N,LZ_RAYBN,27.27
2025-05-31,4,N,LZ_NORTH,27.36
2025-05-31,4,N,LZ_LCRA,28.68
2025-05-31,4,N,LZ_HOUSTON,28.06
2025-05-31,4,N,LZ_CPS,28.98
2025-05-31,4,N,LZ_AEN,28.31
2025-05-31,4,N,HB_WEST,33.32
2025-05-31,4,N,HB_SOUTH,28.66
2025-05-31,4,N,HB_PAN,23.39
2025-05-31,4,N,HB_NORTH,27.32
2025-05-31,4,N,HB_HUBAVG,29.33
2025-05-31,4,N,HB_HOUSTON,28.03
2025-05-31,4,N,HB_BUSAVG,28.46
2025-05-31,3,N,LZ_WEST,46.4
2025-05-31,3,N,LZ_SOUTH,30.63
2025-05-31,3,N,LZ_RAYBN,28.8
2025-05-31,3,N,LZ_NORTH,28.88
2025-05-31,3,N,LZ_LCRA,30.04
2025-05-31,3,N,LZ_HOUSTON,29.53
2025-05-31,3,N,LZ_CPS,30.36
2025-05-31,3,N,LZ_AEN,29.74
2025-05-31,3,N,HB_WEST,34.27
2025-05-31,3,N,HB_SOUTH,30.07
2025-05-31,3,N,HB_PAN,25.04
2025-05-31,3,N,HB_NORTH,28.85
2025-05-31,3,N,HB_HUBAVG,30.67
2025-05-31,3,N,HB_HOUSTON,29.49
2025-05-31,3,N,HB_BUSAVG,29.89
2025-05-31,2,N,LZ_WEST,48.04
2025-05-31,2,N,LZ_SOUTH,31.86
2025-05-31,2,N,LZ_RAYBN,29.54
2025-05-31,2,N,LZ_NORTH,29.67
2025-05-31,2,N,LZ_LCRA,31.34
2025-05-31,2,N,LZ_HOUSTON,30.61
2025-05-31,2,N,LZ_CPS,31.76
2025-05-31,2,N,LZ_AEN,31.07
2025-05-31,2,N,HB_WEST,35.97
2025-05-31,2,N,HB_SOUTH,31.4
2025-05-31,2,N,HB_PAN,24.59
2025-05-31,2,N,HB_NORTH,29.66
2025-05-31,2,N,HB_HUBAVG,31.9
2025-05-31,2,N,HB_HOUSTON,30.57
2025-05-31,2,N,HB_BUSAVG,30.96
2025-05-31,1,N,LZ_WEST,55.32
2025-05-31,1,N,LZ_SOUTH,35.48
2025-05-31,1,N,LZ_RAYBN,32.4
2025-05-31,1,N,LZ_NORTH,32.61
2025-05-31,1,N,LZ_LCRA,35.04
2025-05-31,1,N,LZ_HOUSTON,33.97
2025-05-31,1,N,LZ_CPS,35.58
2025-05-31,1,N,LZ_AEN,34.71
2025-05-31,1,N,HB_WEST,40.89
2025-05-31,1,N,HB_SOUTH,35.1
2025-05-31,1,N,HB_PAN,25.19
2025-05-31,1,N,HB_NORTH,32.6
2025-05-31,1,N,HB_HUBAVG,35.63
2025-05-31,1,N,HB_HOUSTON,33.91
2025-05-31,1,N,HB_BUSAVG,34.37
